event_id,url,title,article_text,published,effective_at,expires_at,event_type,matched_phrases,performance_delta,availability_delta,uncertainty_delta,confidence
797d0f2dd21579a6a04a,https://www.vlr.gg/708786/furia-completes-stage-2-roster-with-shyy,FURIA completes Stage 2 roster with Shyy,FURIA completes Stage 2 roster with Shyy The Chilean Sentinel returns to the Americas League after half a year of VCL play.,2026-07-02T00:00:00,2026-07-02T00:00:00,2026-07-30T00:00:00,return,returns,0.02,0.25,-0.1,0.8
4f663412c2590c090c67,https://www.vlr.gg/708077/glyph-signs-with-envy-p0ppin-benched,"GLYPH signs with Envy, P0PPIN benched","GLYPH signs with Envy, P0PPIN benched The former Gentle Mates Controller will make his VCT Americas debut with Envy.",2026-07-01T00:00:00,2026-07-01T00:00:00,2026-10-29T00:00:00,benching,benched,0.0,-0.7,0.25,0.95
312ece528c7b1243fb78,https://www.vlr.gg/708077/glyph-signs-with-envy-p0ppin-benched,"GLYPH signs with Envy, P0PPIN benched","GLYPH signs with Envy, P0PPIN benched The former Gentle Mates Controller will make his VCT Americas debut with Envy.",2026-07-01T00:00:00,2026-07-01T00:00:00,2026-09-14T00:00:00,roster_join,signs,0.0,0.0,0.08,0.85
5d078c27baded493bce8,https://www.vlr.gg/708112/gen-g-bids-farewell-to-lakia,Gen.G bids farewell to Lakia,"Gen.G bids farewell to Lakia After three different stints across three years with Gen.G, the Initiator-turned-IGL is out of the Tiger Nation.",2026-07-01T00:00:00,2026-07-01T00:00:00,2026-08-05T00:00:00,unavailable,out of,0.0,-0.35,0.18,0.9
89fd3c83943038cdd33f,https://www.vlr.gg/708129/tyloo-promotes-xihe-from-youth-team,TYLOO promotes xihe from youth team,"TYLOO promotes xihe from youth team TYLOO adds a new face, calling up xihe from its youth setup.",2026-07-01T00:00:00,2026-07-01T00:00:00,2026-09-14T00:00:00,roster_join,adds;promotes,0.0,0.0,0.08,0.85
aeeb97d94d43612a40cf,https://www.vlr.gg/708277/giantx-parts-ways-with-grubinho,GIANTX parts ways with grubinho,GIANTX parts ways with grubinho GIANTX bids farewell to the Controller after over one year together.,2026-07-01T00:00:00,2026-07-01T00:00:00,2026-12-28T00:00:00,roster_exit,parts ways,0.0,-0.85,0.28,0.95
389af49f9ee13e260cc9,https://www.vlr.gg/708302/at-long-last-basic-joins-furias-active-roster,At long last: basic joins FURIA's active roster,"At long last: basic joins FURIA's active roster A year after initially joining and dealing with visa issues, basic is set to make his FURIA debut.",2026-07-01T00:00:00,2026-07-01T00:00:00,2026-08-05T00:00:00,visa,visa,0.0,-0.2,0.15,0.75
1254cc1a5342592202c5,https://www.vlr.gg/708302/at-long-last-basic-joins-furias-active-roster,At long last: basic joins FURIA's active roster,"At long last: basic joins FURIA's active roster A year after initially joining and dealing with visa issues, basic is set to make his FURIA debut.",2026-07-01T00:00:00,2026-07-01T00:00:00,2026-09-14T00:00:00,roster_join,joins,0.0,0.0,0.08,0.85
7028f7bb4aec077e7570,https://www.vlr.gg/707785/akeman-leaves-dragon-ranger-gaming-joins-keepbest,"Akeman leaves Dragon Ranger Gaming, joins KeepBest","Akeman leaves Dragon Ranger Gaming, joins KeepBest The former rookie midseason addition is now a midseason departure for DRG.",2026-06-30T00:00:00,2026-06-30T00:00:00,2026-12-27T00:00:00,roster_exit,leaves,0.0,-0.85,0.28,0.95
b14aa8380c1259da346d,https://www.vlr.gg/707785/akeman-leaves-dragon-ranger-gaming-joins-keepbest,"Akeman leaves Dragon Ranger Gaming, joins KeepBest","Akeman leaves Dragon Ranger Gaming, joins KeepBest The former rookie midseason addition is now a midseason departure for DRG.",2026-06-30T00:00:00,2026-06-30T00:00:00,2026-09-13T00:00:00,roster_join,joins,0.0,0.0,0.08,0.85
